Clock(s)	TappedContent	OrderOfKeyTapped
1062.306	m	1
1062.715	y	2
1063.172	space	3
1063.581	f	4
1064.048	a	5
1064.53	v	6
1065.035	o	7
1065.566	r	8
1066.069	i	9
1066.536	t	10
1066.953	e	11
1067.41	space	12
1067.879	s	13
1068.397	u	14
1068.806	b	15
1069.197	j	16
1069.714	e	17
1070.123	c	18
1070.532	t	19
1070.989	space	20
1071.446	i	21
1071.989	s	22
1072.397	space	23
1072.91	p	24
1073.491	s	25
1073.977	y	26
1074.4	c	27
1074.849	h	28
1075.293	o	29
1075.651	l	30
1076.009	o	31
1076.495	g	32
1076.853	y	33
1077.31	space	34
1077.873	send	35
1082.346	t	1
1082.729	h	2
1083.26	a	3
1083.746	t	4
1084.203	space	5
1084.66	i	6
1085.203	s	7
1085.611	space	8
1086.115	a	9
1086.522	space	10
1086.88	v	11
1087.289	e	12
1087.647	r	13
1088.064	y	14
1088.521	space	15
1088.89	n	16
1089.43	a	17
1089.788	s	18
1090.232	t	19
1090.59	y	20
1091.047	space	21
1091.443	c	22
1091.913	u	23
1092.33	t	24
1092.787	space	25
1093.35	send	26
1102.325	b	1
1102.839	a	2
1103.325	t	3
1103.786	m	4
